ZIP,STATE,CITY,COUNTY,POPULATION
89115,Nevada,Las Vegas,Clark County,"67,542"
37064,Tennessee,Franklin,Williamson County,"67,513"
38401,Tennessee,Columbia,Maury County,"67,482"
94587,California,Union City,Alameda County,"67,464"
85338,Arizona,Goodyear,Maricopa County,"67,451"
20011,District of Columbia,Washington,District of Columbia,"67,434"
78045,Texas,Laredo,Webb County,"67,333"
95020,California,Gilroy,Santa Clara County,"67,181"
92630,California,Lake Forest,Orange County,"67,152"
94541,California,Hayward,Alameda County,"67,139"
32822,Florida,Orlando,Orange County,"67,081"
23322,Virginia,Chesapeake,Chesapeake city,"66,956"
75067,Texas,Lewisville,Denton County,"66,913"
94110,California,San Francisco,San Francisco County,"66,865"
30135,Georgia,Douglasville,Douglas County,"66,800"
956,Puerto Rico,Bayamon,Bayamón Municipio,"66,734"
28215,North Carolina,Charlotte,Mecklenburg County,"66,674"
84404,Utah,Ogden,Weber County,"66,587"
34744,Florida,Kissimmee,Osceola County,"66,582"
48197,Michigan,Ypsilanti,Washtenaw County,"66,525"
37167,Tennessee,Smyrna,Rutherford County,"66,504"
19120,Pennsylvania,Philadelphia,Philadelphia County,"66,469"
7087,New Jersey,Union City,Hudson County,"66,463"
21234,Maryland,Parkville,Baltimore County,"66,334"
19111,Pennsylvania,Philadelphia,Philadelphia County,"66,283"
92115,California,San Diego,San Diego County,"66,264"
78665,Texas,Round Rock,Williamson County,"66,171"
953,Puerto Rico,Toa Alta,Toa Alta Municipio,"66,156"
23462,Virginia,Virginia Beach,Virginia Beach city,"66,151"
92618,California,Irvine,Orange County,"66,126"
20878,Maryland,Gaithersburg,Montgomery County,"66,115"
87120,New Mexico,Albuquerque,Bernalillo County,"66,097"
40475,Kentucky,Richmond,Madison County,"65,961"
2148,Massachusetts,Malden,Middlesex County,"65,906"
949,Puerto Rico,Toa Baja,Toa Baja Municipio,"65,867"
92201,California,Indio,Riverside County,"65,825"
91402,California,Panorama City,Los Angeles County,"65,754"
11746,New York,Huntington Station,Suffolk County,"65,747"
92114,California,San Diego,San Diego County,"65,745"
32210,Florida,Jacksonville,Duval County,"65,729"
95758,California,Elk Grove,Sacramento County,"65,725"
80634,Colorado,Greeley,Weld County,"65,622"
22554,Virginia,Stafford,Stafford County,"65,494"
90037,California,Los Angeles,Los Angeles County,"65,482"
33463,Florida,Lake Worth,Palm Beach County,"65,478"
8753,New Jersey,Toms River,Ocean County,"65,448"
60640,Illinois,Chicago,Cook County,"65,445"
92392,California,Victorville,San Bernardino County,"65,429"
22407,Virginia,Fredericksburg,Spotsylvania County,"65,425"
42101,Kentucky,Bowling Green,Warren County,"65,421"
11211,New York,Brooklyn,Kings County,"65,314"
28173,North Carolina,Waxhaw,Union County,"65,274"
43026,Ohio,Hilliard,Franklin County,"65,238"
85204,Arizona,Mesa,Maricopa County,"65,155"
33032,Florida,Homestead,Miami-Dade County,"65,132"
33027,Florida,Hollywood,Broward County,"65,116"
85308,Arizona,Glendale,Maricopa County,"65,095"
74012,Oklahoma,Broken Arrow,Tulsa County,"65,060"
43081,Ohio,Westerville,Franklin County,"65,020"
37040,Tennessee,Clarksville,Montgomery County,"64,977"
44256,Ohio,Medina,Medina County,"64,924"
60620,Illinois,Chicago,Cook County,"64,871"
21740,Maryland,Hagerstown,Washington County,"64,792"
92562,California,Murrieta,Riverside County,"64,781"
30253,Georgia,Mcdonough,Henry County,"64,779"
55044,Minnesota,Lakeville,Dakota County,"64,762"
